"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"66",3.7,94,2437,411,2,35000,2,0,1,2,79,2,5673,9857,7781,3727,20.982,36.456,28.778,13.784,86190,0.3,79180,4
"67",0,0,6587,992,0,40400,2,0,0,1,10,2,2770,8431,5774,3646,13.433,40.886,28.001,17.681,86190,0.3,79180,16
"68",0,0,1114,211,0,90200,2,0,0,3,84,0,25217,71105,73538,68364,10.585,29.848,30.869,28.697,86190,0.3,79180,25
"69",0,0,621,130,0,29200,2,0,0,1,73,22,6055,10752,9645,4238,19.73,35.034,31.427,13.809,86190,0.3,79180,22
"70",0,0,621,130,0,29200,2,0,0,1,73,22,21307,39964,41158,27300,16.424,30.806,31.726,21.044,86190,0.3,79180,22
"71",0,0,868,154,0,32000,2,0,0,1,10,0,5673,9857,7781,3727,20.982,36.456,28.778,13.784,86190,0.3,79180,4
"72",0,0,1542,225,2,58300,2,0,0,3,74,13,857,4533,4982,3022,6.398,33.844,37.196,22.562,86190,0.3,79180,13
"73",0,0,1985,359,0,50500,2,0,0,1,98,0,802,2657,2750,1141,10.912,36.15,37.415,15.524,86190,0.3,79180,16
"74",0,0,6587,992,0,40400,2,0,0,1,10,2,7615,15270,9565,4669,20.515,41.138,25.768,12.578,86190,0.3,79180,16
"75",3.7,94,2437,411,2,35000,2,0,1,2,79,2,2273,9899,14600,24144,4.464,19.442,28.675,47.419,86190,0.3,79180,4
"76",0,0,1635,274,3,43700,2,0,1,1,77,19,857,4533,4982,3022,6.398,33.844,37.196,22.562,86190,0.3,79180,19
"77",2.8,123,6402,965,0,39400,2,0,1,2,30,0,2028,4577,3301,1865,17.229,38.884,28.043,15.844,86190,0.3,79180,8
"78",0,0,346,128,3,31500,2,0,0,1,0,4,863,3434,6390,9811,4.21,16.753,31.174,47.863,86190,0.3,79180,23
"79",3.1,12,1066,196,0,39300,2,0,0,1,17,0,1730,5189,3079,2273,14.098,42.287,25.092,18.523,86190,0.3,79180,16
"80",3.1,12,1066,196,0,39300,2,0,0,1,17,0,2620,6626,4348,2844,15.939,40.309,26.451,17.301,86190,0.3,79180,16
"81",2.8,123,6402,965,0,39400,2,0,1,2,30,0,337,1045,984,733,10.874,33.721,31.752,23.653,86190,0.3,79180,8
"82",0,0,1542,225,2,58300,2,0,0,3,74,13,2928,6146,5146,2413,17.604,36.951,30.938,14.507,86190,0.3,79180,13
"83",0,0,1542,225,2,58300,2,0,0,3,74,13,10684,22738,22476,14875,15.096,32.128,31.758,21.018,86190,0.3,79180,13
"84",5,92,761,120,1,35700,2,0,0,1,26,13,7819,25821,22917,15092,10.913,36.038,31.985,21.064,86190,0.3,79180,32
"85",0,0,621,130,0,29200,2,0,0,1,73,22,36063,101997,84568,101712,11.119,31.448,26.074,31.36,86190,0.3,79180,22
"86",3.5,86,2464,379,0.5,23000,2,0,0,1,3,3,1148,4593,3596,2003,10.123,40.503,31.711,17.663,86190,0.3,79180,23
"87",0,0,2189,313,3,40900,2,0,1,1,73,11,2273,9899,14600,24144,4.464,19.442,28.675,47.419,86190,0.3,79180,12
"88",0,0,2059,323,0,31800,2,0,1,1,1,3,261022,248174,222786,173169,28.837,27.418,24.613,19.132,86190,0.3,79180,33
"89",0,0,7226,1089,0,74500,2,0,0,1,17,0,54574,132375,76544,90904,15.399,37.352,21.598,25.65,86190,0.3,79180,7
"90",0,0,1254,168,0,33200,2,0,1,1,21,1,2741,4440,2435,1118,25.536,41.364,22.685,10.416,86190,0.3,79180,22
"91",3.6,100,971,196,0,25900,2,0,0,1,30,3,14604,37364,35017,36170,11.858,30.339,28.433,29.369,86190,0.3,79180,27
"92",0,0,2300,346,0,34600,2,0,1,1,6,2,48466,148088,199553,291365,7.05,21.541,29.027,42.382,86190,0.3,79180,39
"93",0,0,2279,400,1,37200,2,0,0,3,10,0,10375,34336,37495,38382,8.604,28.474,31.093,31.829,86190,0.3,79180,2
"94",4.5,58,2112,337,2,38000,2,0,0,2,17,0,2460,3793,2585,1004,24.995,38.539,26.265,10.201,86190,0.3,79180,12
"95",0,0,2189,313,1,40900,2,0,1,1,24,0,2273,9899,14600,24144,4.464,19.442,28.675,47.419,86190,0.3,79180,1
"96",0,0,868,154,0,32000,2,0,0,1,10,0,2273,9899,14600,24144,4.464,19.442,28.675,47.419,86190,0.3,79180,4
"97",0,0,615,151,2,53600,2,0,1,1,5,19,2990,8562,8694,5731,11.51,32.96,33.468,22.062,86190,0.3,79180,32
"98",4.2,209,7055,963,5,74000,2,1,0,3,1,2,358,1428,2718,8216,2.814,11.226,21.368,64.591,86190,0.3,79180,14
"99",0,0,2189,313,1,40900,2,0,1,1,24,0,5673,9857,7781,3727,20.982,36.456,28.778,13.784,86190,0.3,79180,1
"100",0,0,2189,313,1,40900,2,0,1,1,24,0,894,2640,1180,685,16.559,48.898,21.856,12.688,86190,0.3,79180,1
"101",0,0,1242,291,0,20066,2,0,1,1,4,8,208,657,582,376,11.41,36.039,31.925,20.625,86190,0.3,79180,50
"102",0,0,1934,262,2,40900,2,0,1,1,36,11,2273,9899,14600,24144,4.464,19.442,28.675,47.419,86190,0.3,79180,23
"103",2.9,84,1324,196,3,38500,2,0,1,2,18,2,40771,108016,91950,106367,11.746,31.119,26.491,30.644,86190,0.3,79180,12
"104",4.1,57,1506,224,3,48500,2,0,1,2,74,0,23995,27143,55863,68386,13.681,15.476,31.851,38.991,86190,0.3,79180,34
"105",4,32,1767,331,0,36100,2,0,1,2,51,11,2222,4137,1876,1038,23.962,44.613,20.231,11.194,86190,0.3,79180,11
"106",4.5,58,2112,337,2,38000,2,0,0,2,17,0,295,577,439,255,18.838,36.845,28.033,16.284,86190,0.3,79180,12
"107",0,0,1985,359,0,50500,2,0,0,1,98,0,2933,11123,7226,4282,11.473,43.51,28.266,16.75,86190,0.3,79180,16
"108",4.4,87,904,116,2,39000,2,0,1,3,0,5,81522,173824,182073,185226,13.093,27.917,29.242,29.748,86190,0.3,79180,34
"109",3.9,112,651,137,2,25400,2,0,1,2,15,11,5623,9108,6711,4177,21.949,35.552,26.195,16.304,86190,0.3,79180,25
"110",0,0,905,124,3,30415,2,0,0,1,16,9,2460,3793,2585,1004,24.995,38.539,26.265,10.201,86190,0.3,79180,12
"111",3,98,3956,584,5,36100,2,0,1,2,73,0,4003,12471,10582,11560,10.366,32.295,27.403,29.936,86190,0.3,79180,22
"112",3.9,93,2174,318,0,33500,2,0,0,1,8,25,2990,8562,8694,5731,11.51,32.96,33.468,22.062,86190,0.3,79180,31
"113",0,0,2185,357,2,57900,2,0,1,3,41,2,403,1899,2598,1388,6.409,30.2,41.317,22.074,86190,0.3,79180,17
"114",0,0,148,49,0,45000,2,0,0,1,3,0,14899,43393,58090,54191,8.735,25.44,34.056,31.77,86190,0.3,79180,4
"115",0,0,1635,274,3,43700,2,0,1,1,77,19,9797,28238,35148,23153,10.17,29.312,36.485,24.034,86190,0.3,79180,19
"116",0,0,270,124,0,30000,2,0,0,1,95,0,1055,5396,4994,2614,7.504,38.381,35.522,18.593,86190,0.3,79180,15
"117",0,0,7226,1089,0,74500,2,0,0,1,3,18,54574,132375,76544,90904,15.399,37.352,21.598,25.65,86190,0.3,79180,30
"118",5,46,5251,710,0,78200,2,0,0,3,69,0,11370,66774,83109,114976,4.116,24.173,30.087,41.623,86190,0.3,79180,18
"119",0,0,6587,992,0,40400,2,0,0,1,10,2,3474,7050,8061,7727,13.203,26.794,30.636,29.367,86190,0.3,79180,16
"120",0,0,1254,168,0,33200,2,0,1,1,21,1,4833,20196,15404,7377,10.109,42.242,32.219,15.43,86190,0.3,79180,22
"121",3.6,100,1014,150,0,26100,2,0,0,1,8,0,4190,15842,13912,13475,8.836,33.409,29.338,28.417,86190,0.3,79180,12
"122",2.9,31,1238,201,4,42900,2,0,1,2,14,9,1495617,1387980,1763571,2064911,22.282,20.679,26.275,30.764,86190,0.3,79180,29
"123",3,23,3255,552,1,37000,2,0,1,2,1,0,1015,2709,1387,906,16.869,45.022,23.051,15.057,86190,0.3,79180,24
"124",0,0,868,154,0,32000,2,0,0,1,10,0,349434,358305,410360,471989,21.976,22.534,25.807,29.683,86190,0.3,79180,4
"125",3.5,86,2464,379,0.5,23000,2,0,0,1,3,3,1003,2169,1208,694,19.767,42.747,23.808,13.678,86190,0.3,79180,23
"126",0,0,3364,561,5,55400,2,0,1,1,39,3,3515,12177,9435,4433,11.891,41.194,31.918,14.997,86190,0.3,79180,15
"127",0,0,1254,168,0,33200,2,0,1,1,21,1,4239,12134,10053,11264,11.247,32.194,26.673,29.886,86190,0.3,79180,22
"128",0,0,1359,232,2,47900,2,0,1,1,3,2,4903,22234,18232,18713,7.651,34.696,28.451,29.202,86190,0.3,79180,36
"129",0,0,6587,992,0,40400,2,0,0,1,10,2,16569,40464,53440,38938,11.09,27.082,35.767,26.061,86190,0.3,79180,16
"130",0,0,6587,992,0,40400,2,0,0,1,10,2,230,604,647,339,12.637,33.187,35.549,18.626,86190,0.3,79180,16
"131",0,0,1254,168,0,33200,2,0,1,1,21,1,1940,4555,5741,3210,12.56,29.49,37.168,20.782,86190,0.3,79180,22
"132",3.1,12,1066,196,0,39300,2,0,0,1,17,0,395,1822,1550,594,9.058,41.779,35.542,13.621,86190,0.3,79180,16
"133",0,0,6587,992,0,40400,2,0,0,1,10,2,557,2362,2716,1512,7.793,33.049,38.002,21.156,86190,0.3,79180,16
"134",3.4,203,599,165,0,36500,2,0,1,1,55,0,3457,5744,6336,4128,17.579,29.209,32.22,20.992,86190,0.3,79180,5
"135",4.5,58,2112,337,2,38000,2,0,0,2,17,0,53291,145945,148387,192127,9.873,27.039,27.492,35.596,86190,0.3,79180,12
"136",0,0,270,124,0,30000,2,0,0,1,73,0,2787,12077,11829,6412,8.419,36.481,35.732,19.369,86190,0.3,79180,4
"137",3.9,12,2114,319,1,23500,2,0,1,1,93,0,5599,21577,24455,24385,7.366,28.385,32.171,32.079,86190,0.3,79180,9
"138",3,23,3255,552,1,37000,2,0,1,2,1,0,280240,544288,652036,445561,14.58,28.317,33.923,23.181,86190,0.3,79180,24
"139",4,32,1767,331,0,36100,2,0,1,2,51,11,1561,3309,3237,1690,15.933,33.776,33.041,17.25,86190,0.3,79180,11
"140",0,0,1985,359,0,50500,2,0,0,1,98,0,62205,98816,133907,409049,8.836,14.037,19.022,58.105,86190,0.3,79180,16
"141",0,0,6587,992,0,40400,2,0,0,1,10,2,2888,4381,5809,3396,17.531,26.593,35.262,20.614,86190,0.3,79180,16
"142",0,0,2118,287,0,34400,2,0,1,2,0,17,1700,3490,2191,1107,20.028,41.117,25.813,13.042,86190,0.3,79180,49
"143",3.7,94,2437,411,2,35000,2,0,1,2,79,2,2109,4778,2981,1495,18.56,42.049,26.234,13.157,86190,0.3,79180,4
"144",0,0,270,124,0,30000,2,0,0,1,73,0,2980,9704,5556,3191,13.905,45.28,25.925,14.89,86190,0.3,79180,4
"145",0,0,6587,992,0,40400,2,0,0,1,10,2,1697,6083,4614,1996,11.793,42.272,32.064,13.871,86190,0.3,79180,16
"146",3.4,89,2183,424,2,40300,2,0,1,2,66,0,32080,58498,60812,44783,16.353,29.82,30.999,22.828,86190,0.3,79180,3
"147",3.6,100,1014,150,0,26100,2,0,0,1,8,0,1480,3988,3553,2535,12.807,34.51,30.746,21.937,86190,0.3,79180,12
"148",3,49,4035,599,0,54400,2,0,1,3,23,0,175,774,651,567,8.076,35.718,30.042,26.165,86190,0.3,79180,6
"149",0,0,1254,168,0,33200,2,0,1,1,21,1,1060,1776,1221,880,21.471,35.973,24.732,17.825,86190,0.3,79180,22
"150",0,0,6300,938,1,35200,2,0,0,2,6,15,9797,28238,35148,23153,10.17,29.312,36.485,24.034,86190,0.3,79180,15
"151",2.8,123,6402,965,0,39400,2,0,1,2,30,0,1270,4260,3024,1428,12.723,42.677,30.295,14.306,86190,0.3,79180,8
"152",3,98,3956,584,5,36100,2,0,1,2,73,0,55173,159828,145355,192559,9.979,28.906,26.289,34.826,86190,0.3,79180,22
"153",0,0,783,127,1,26400,2,0,0,2,51,0,4331,7533,6989,2685,20.109,34.975,32.45,12.466,86190,0.3,79180,26
"154",0,0,1114,211,0,90200,2,0,0,3,84,0,6521,12864,16818,49369,7.62,15.033,19.654,57.693,86190,0.3,79180,25
"155",0,0,350,84,0.7,31100,2,0,0,2,11,2,231,818,1063,530,8.743,30.961,40.235,20.061,86190,0.3,79180,14
"156",0,0,1635,274,3,43700,2,0,1,1,77,19,10684,22738,22476,14875,15.096,32.128,31.758,21.018,86190,0.3,79180,19
"157",3.6,63,3423,594,3,35100,2,0,1,2,90,0,48466,148088,199553,291365,7.05,21.541,29.027,42.382,86190,0.3,79180,19
"158",0,0,2158,331,0,23600,2,0,1,3,1,10,10369,31473,31836,32458,9.77,29.653,29.995,30.582,86190,0.3,79180,33
"159",3,49,4035,599,0,54400,2,0,1,3,23,0,650,1851,1476,1001,13.057,37.184,29.65,20.108,86190,0.3,79180,6
"160",0,0,403,64,0,28900,2,0,1,1,6,2,2784,7602,5833,2508,14.866,40.594,31.148,13.392,86190,0.3,79180,15
"161",4.5,58,2112,337,2,38000,2,0,0,2,17,0,29777,66058,75474,72020,12.237,27.148,31.017,29.598,86190,0.3,79180,12
"162",0,0,1692,263,1,37800,2,0,1,2,12,0,2460,3793,2585,1004,24.995,38.539,26.265,10.201,86190,0.3,79180,3
"163",5,56,1170,202,0,31600,2,0,1,1,76,1,42545,82146,93097,106698,13.112,25.316,28.691,32.882,86190,0.3,79180,27
"164",0,0,905,124,3,30415,2,0,0,1,16,9,29777,66058,75474,72020,12.237,27.148,31.017,29.598,86190,0.3,79180,12
"165",0,0,1711,323,0,30500,2,0,1,1,9,24,7589,12868,14153,4710,19.301,32.726,35.994,11.979,86190,0.3,79180,61
"166",0,0,905,124,3,30415,2,0,0,1,16,9,401,1979,2254,1567,6.467,31.914,36.349,25.27,86190,0.3,79180,12
"167",0,0,792,193,2,32900,2,0,1,1,60,0,306,1000,1507,809,8.448,27.609,41.607,22.336,86190,0.3,79180,14
"168",0,0,2189,313,3,40900,2,0,1,1,73,11,2109,4778,2981,1495,18.56,42.049,26.234,13.157,86190,0.3,79180,12
"169",0,0,4943,774,0,38400,2,1,1,2,10,2,5673,9857,7781,3727,20.982,36.456,28.778,13.784,86190,0.3,79180,17
"170",0,0,1254,168,0,33200,2,0,1,1,21,1,428,2331,2888,2790,5.073,27.628,34.23,33.069,86190,0.3,79180,22
"171",3.6,53,4113,650,1,33100,2,0,1,2,61,0,2928,6146,5146,2413,17.604,36.951,30.938,14.507,86190,0.3,79180,4
"172",4,32,1767,331,0,36100,2,0,1,2,51,11,478,3556,3108,1834,5.325,39.617,34.626,20.432,86190,0.3,79180,11
"173",0,0,1254,168,0,33200,2,0,1,1,21,1,2880,8703,6645,3745,13.107,39.608,30.242,17.044,86190,0.3,79180,22
"174",0,0,2279,400,1,37200,2,0,0,3,10,0,42728,102000,126350,137525,10.457,24.963,30.922,33.657,86190,0.3,79180,2
"175",0,0,2279,400,1,37200,2,0,0,3,10,0,108,148,123,119,21.687,29.719,24.699,23.896,86190,0.3,79180,2
"176",0,0,1993,325,5,42600,2,0,1,2,6,0,2018,3888,2154,935,22.435,43.224,23.947,10.395,86190,0.3,79180,18
"177",4.5,58,2112,337,2,38000,2,0,0,2,17,0,401,1979,2254,1567,6.467,31.914,36.349,25.27,86190,0.3,79180,12
"178",2.9,101,620,108,3,47200,2,0,1,1,48,0,6990,10460,10400,9404,18.763,28.078,27.916,25.243,86190,0.3,79180,10
"179",0,0,1559,291,2,34400,2,0,1,1,22,4,1700,3490,2191,1107,20.028,41.117,25.813,13.042,86190,0.3,79180,4
"180",0,0,1092,150,0,32600,2,0,1,2,42,6,29576,100791,104719,246726,6.138,20.919,21.734,51.208,86190,0.3,79180,24
"181",4,32,1767,331,0,36100,2,0,1,2,51,11,11615,29508,33941,19314,12.307,31.266,35.963,20.465,86190,0.3,79180,11
"182",0,0,1934,262,2,40900,2,0,1,1,36,11,2109,4778,2981,1495,18.56,42.049,26.234,13.157,86190,0.3,79180,23
"183",2.9,84,1324,196,3,38500,2,0,1,2,18,2,2866,10371,11483,7226,8.971,32.464,35.945,22.619,86190,0.3,79180,12
"184",0,0,148,49,0,45000,2,0,0,1,3,0,799,2529,1525,907,13.872,43.906,26.476,15.747,86190,0.3,79180,4
"185",0,0,6300,938,1,35200,2,0,0,2,6,15,2928,6146,5146,2413,17.604,36.951,30.938,14.507,86190,0.3,79180,15
"186",0,0,6300,938,1,35200,2,0,0,2,6,15,10684,22738,22476,14875,15.096,32.128,31.758,21.018,86190,0.3,79180,15
"187",3.7,444,1886,296,5,31300,2,0,1,1,23,0,1340,5827,6400,3292,7.948,34.563,37.962,19.527,86190,0.3,79180,4
"188",3.6,53,4113,650,1,33100,2,0,1,2,61,0,10684,22738,22476,14875,15.096,32.128,31.758,21.018,86190,0.3,79180,4
"189",4,2,2070,312,2,48900,2,0,0,3,35,0,894,2640,1180,685,16.559,48.898,21.856,12.688,86190,0.3,79180,25
"190",0,0,783,127,1,26400,2,0,0,2,51,0,2499,7420,5461,3959,12.922,38.368,28.238,20.472,86190,0.3,79180,26
"191",0,0,270,124,0,30000,2,0,0,1,73,0,1055,5396,4994,2614,7.504,38.381,35.522,18.593,86190,0.3,79180,4
"192",0,0,1985,359,0,50500,2,0,0,1,98,0,8986,35314,42118,29316,7.764,30.513,36.392,25.33,86190,0.3,79180,16
"193",0,0,1985,359,0,50500,2,0,0,1,98,0,1758,2354,1615,1286,25.068,33.566,23.029,18.337,86190,0.3,79180,16
"194",0,0,1985,359,0,50500,2,0,0,1,98,0,4659,11870,12516,24755,8.66,22.063,23.264,46.013,86190,0.3,79180,16
"195",0,0,1635,274,3,43700,2,0,1,1,77,19,2928,6146,5146,2413,17.604,36.951,30.938,14.507,86190,0.3,79180,19
"196",0,0,270,124,0,30000,2,0,0,1,95,0,2009,2661,1545,767,28.774,38.112,22.128,10.985,86190,0.3,79180,15
"197",2.9,366,4472,719,2,43800,2,0,1,2,56,0,19950,73199,57102,58066,9.577,35.138,27.411,27.874,86190,0.3,79180,19
"198",0,0,350,84,0.7,31100,2,0,0,2,11,2,143,397,380,168,13.143,36.489,34.926,15.441,86190,0.3,79180,14
"199",0,0,1635,274,3,43700,2,0,1,1,77,19,1322,2586,1204,615,23.084,45.155,21.023,10.739,86190,0.3,79180,19
"200",4.1,44,1874,307,0,49000,2,0,1,1,14,47,1495617,1387980,1763571,2064911,22.282,20.679,26.275,30.764,86190,0.3,79180,192
